,tweet,likes,date
47,"The premier league might lowkey be turning into a european super league you know, every big transfer minus PSG has been in the prem so far.",0,2021-07-27 17:00:00
48,Getting organised and taking action is the best way to move the world forward. You want to take action on the Europ… https://t.co/j7y8Vov6wJ,0,2021-07-27 16:47:01
49,The European Super League everyone feared in soccer is 10000% coming to college football.,0,2021-07-27 15:57:46
50,@SS19642 Yep weren’t so long ago they were all against the so called top six because of the European super league,1,2021-07-27 15:38:32
51,The SEC is actually becoming what the European Super League wanted to be and Texas is Tottenham https://t.co/7BWbHGSMq9,2,2021-07-27 15:35:05
52,"@SoccerAM you can go ahead and delete your anti-European Super League tweets you weird, pandering parasites. clearl… https://t.co/32iotks3je",7,2021-07-27 15:25:41
53,@FinPlanKaluAja1 European Super League,0,2021-07-27 15:00:33
54,"Earlier this year, I hated the idea of a European Super League because it was a few teams acting solely in their ow… https://t.co/UrH3XgpcJx",0,2021-07-27 14:59:05
55,Feels like the SEC is close to pulling a European Super League type of move https://t.co/sYvOeOUdfW,0,2021-07-27 14:57:42
56,@Antcon7062 McConville and others want anybody that loses by more than 2 points to be put in a micky mouse all Irel… https://t.co/xmpBCy4zY0,1,2021-07-27 14:39:10
57,"April, Eddie Hearn said of the European Super League: ""It takes away that passion from the supporter."" 

Today, on… https://t.co/otOyyiYjg2",2,2021-07-27 14:01:46
58,@Busfield @stu_boy @MichaelVaughan @IPL you're comparing the European Super league to a franchised domestic cricket… https://t.co/24N3VUcPgD,0,2021-07-27 13:57:53
59,"Can the fans of clubs in Germany, France, Italy and Spain sign a global petition for a continental European Super L… https://t.co/6VhJ2ka2xj",1,2021-07-27 13:55:10
60,@MartyMcFly1001 @stu_boy @MichaelVaughan @IPL I presume you were also a fan of the European Super League? Who needs… https://t.co/BCSQ10Y7GA,0,2021-07-27 13:47:50
61,"@colej9379 @LUFC Your are shitting it you idiot 4.2 loss in week to qpr,, you full well know we are the best attack… https://t.co/mmJlF1AyXe",3,2021-07-27 13:16:21
62,@muzukulu01 @Sebunyashahabu2 Man..that's why they badly needed the European super league..they will never resurrect,0,2021-07-27 12:57:48
63,@ricspeake @DavidKHopps Well if I had said exactly that as a justification for the European Super League I doubt yo… https://t.co/T1EXd8M8wp,4,2021-07-27 12:49:22
64,"RT @latelateshow: James reacts to the European Super League news:

""It's the end of the sport we love. It truly is."" https://t.co/IOZW8zMjRD",0,2021-07-27 12:43:50
65,RT @paul_c_watson: At least the 18-24 year olds will have loved how quick the European Super League was. https://t.co/93Jdp8YGqG,0,2021-07-27 12:43:39
66,@UTDMaddox Burnley and leeds come together to end European super league,1,2021-07-27 12:41:06
67,@KatyMowat @stumat or other innovations like the European Super League which was soon chased down the street.  Sky… https://t.co/6qL6rRyjtC,1,2021-07-27 12:29:05
68,@ricspeake @DavidKHopps What’s not to like is the damage being done to county cricket. Think about why you opposed… https://t.co/gYGapEJD2I,16,2021-07-27 12:22:10
69,"RT @Herring1967: Me11 in action again tonight in European Super League of Self-Playing snooker, plus the two players who have yet to regist…",0,2021-07-27 12:19:51
70,"RT @bankelele: @RiazGilani During the European super league breakaway scare, the restrictions were lifted to allow fans to complain, then r…",0,2021-07-27 10:59:53
71,"RT @Herring1967: Me11 in action again tonight in European Super League of Self-Playing snooker, plus the two players who have yet to regist…",0,2021-07-27 10:59:21
72,"RT @Herring1967: Me11 in action again tonight in European Super League of Self-Playing snooker, plus the two players who have yet to regist…",0,2021-07-27 10:51:28
73,"Me11 in action again tonight in European Super League of Self-Playing snooker, plus the two players who have yet to… https://t.co/RY3Mu8VZvk",10,2021-07-27 10:28:06
74,"@RiazGilani During the European super league breakaway scare, the restrictions were lifted to allow fans to complai… https://t.co/S3nqBenLkB",2,2021-07-27 10:26:07
75,@kevinblake2011 @AtTheRaces It absolutely stinks of the European Super League in football a few months ago that wen… https://t.co/DTmy1ebMbA,2,2021-07-27 10:07:22
76,RT @TheoPaphitis4: @lufc_jake14 @PoliticsForAlI @Ground_app Burnley and Leeds sign agreement to stop European super league.,0,2021-07-27 10:05:57
77,RT @TelegraphDucker: #MUFC are finalising plans for a new fan advisory board &amp; advancing discussions over a fan share scheme in the cleares…,0,2021-07-27 10:03:34
78,United board buying big to appease the fans but never forget those bastards were prepared to sell your clubs histor… https://t.co/J55x6hgDWq,2,2021-07-27 09:58:22
79,RT @JaacksHappyHour: Upon hearing news that the Sidemen are doing a charity match... we decided to put together a Happy Hour FC Squad based…,0,2021-07-27 09:43:50
80,"@Warwicktweets I'm English and it's shameful, there should be no debate, the protocol needs scrapping, its an insul… https://t.co/XmPLQdlIRs",0,2021-07-27 09:19:16
81,RT @anthonytbroome: It blows my mind that months ago people were appalled at the idea of the European Super League but in America with coll…,0,2021-07-27 08:45:20
82,European Super League https://t.co/4RMUm060MP,0,2021-07-27 08:32:05
83,"RT @SwissRamble: The daunting #FCBarcelona financial challenges help explain why they wanted to be part of the European Super League, espec…",0,2021-07-27 08:20:34
84,"RT @MSHopkins4: Just announced, that you can't attend any Premier League football matches, if you haven't had the 'shots' by October! Now A…",0,2021-07-27 08:07:31
85,RT @TelegraphDucker: #MUFC are finalising plans for a new fan advisory board &amp; advancing discussions over a fan share scheme in the cleares…,0,2021-07-27 07:27:39
86,"@andyliverbird @JotaBelieveIt I want FSG out because they tried to raise ticket prices, trademark Liverpool, furlou… https://t.co/jSUetVyWUQ",1,2021-07-27 07:26:07
