,tweet,likes,date_posted
41,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:34:58
42,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:34:51
43,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:34:47
44,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:31:37
45,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:31:04
46,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:29:44
47,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:28:22
48,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:27:06
49,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:26:27
50,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:25:35
51,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:24:27
52,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:21:18
53,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:20:53
54,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:17:38
55,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:17:32
56,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:16:18
57,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:15:10
58,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:14:50
59,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:14:43
60,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:13:23
